Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-02-03,Randstad,Vizcaya,Bilbao,Gestor Centro Almacen Bilbao,35.000-40.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,roja de Túria,Riba,Site Operation Excellence / Lean Leader,43.000-45.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Albacete,Albacete,Gerente,55.000-65.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Madrid,Madrid,Especialista En Nóminas,32.400 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Barcelona,Barcelona,Store Manager Con Movilidad,25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Gerona,Vall de Bianya (La),Tècnic Comercial,30.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Madrid,Fuenlabrada,Contable,26.000-30.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Madrid,Madrid,Fulfillment Manager,40.000-45.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Barcelona,Sallent,Técnico De Aprovisionamiento Y Atención Al Cliente,30.000-35.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Valencia,Loriguilla,Jefe/a De Turno Logística,25.000-26.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Vaciamadrid,Rivas,Jefe De Taller,32.000-35.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Barcelona,Sant Just Desvern,Responsable De Servicios Corporativos,45.000-55.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Madrid,Loeches,Comercial Técnico,35.000-40.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Lleida,Lleida,Site Manager,30.000-45.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Barcelona,Santa Margarida i els Monjos,Contable,35.000-40.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Albacete,Albacete,Comercial Técnico - Sector Construcción,30.000-35.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Barcelona,Granollers,Tècnic/A Comercial  Extern Terciari/Infraest,35.000-42.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Albacete,Albacete,Gerente,55.000-65.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad professional,Sin Data
2026-02-03,Randstad,Madrid,Madrid,"Specialist, Talent Management, OTS",19.500-24.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad unete al equipo,Sin Data
2026-02-03,Randstad,Valladolid,Valladolid,Operario u operaria para F. Motores (HORSE) Valladolid,20.662-25.632 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad rpo,Sin Data
2026-02-03,Randstad,León,Bañeza (La),Mozo Construcción,"9,26-10 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Montcada i Reixac,Marketing/ Comunicación CRM,24.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valencia,Cheste,Operario u operaria Industrial TURNOS DE 12 HORAS CON COCHE EN CHESTE,"12,51-14,48 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Pontevedra,Vigo,Carretillero Carretillera automoción zona de Vigo (FIN DE SEMANA),"9,93-13,83 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Granollers,Operario/a línea envasado cosmética  DISPONIBILIDAD TOTAL,12-15 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Barberà del Vallès,Administrativo/a dpto comercial,23.000-25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Logroño,Gestor de tráfico 2º,19.000-20.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Calahorra,Operario/a Cárnico,11-12 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valladolid,Valladolid,Mozo/a almacén conocimientos electricos- Estable,19.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valencia,Cheste,Operario u operaria Industrial TURNOS DE 12 HORAS CON COCHE EN CHESTE,"12,51-14,48 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Pontevedra,Vigo,Carretillero Carretillera automoción zona de Vigo (FIN DE SEMANA),"9,93-13,83 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Granollers,Operario/a línea envasado cosmética  DISPONIBILIDAD TOTAL,12-15 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Barberà del Vallès,Administrativo/a dpto comercial,23.000-25.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Logroño,Gestor de tráfico 2º,19.000-20.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Calahorra,Operario/a Cárnico,11-12 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valladolid,Valladolid,Mozo/a almacén conocimientos electricos- Estable,19.000 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Sevilla,Brenes,Operario/A Linea Brenes Grado Superior,"10,23 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Terrassa,Recepcionista de oficina,"10,10 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Madrid,Torrejón de Ardoz,Mozo o moza de almacén,13 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Zaragoza,Zaragoza,Mozo/a picking,16.576 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Barberà del Vallès,Manipulador documentacion,1.500-1.600 €/mes,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valencia,Carlet,Operario u operaria de producción en Carlet,"10,06-17,34 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Barcelona,Barcelona,Operarios de montajes,"14,95 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Valencia,Carlet,Reponedor / Reponedora,12-13 €/hora,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Logroño,Operario de Visión Artificial,27.000-27.500 €/año,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,Madrid,Madrid,Auxiliar Administrativo/a de logística estable,1.500 €/mes,Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
2026-02-03,Randstad,La Rioja,Logroño,Operario/A,"9,98-11,48 €/hora",Sin data,Sin Data,Sin Data,Sin Data,Randstad,Sin Data
