Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-02-19,Tecnoempleo,Sin Data,Sin Data,Jefe de Desarrollo de Software - 100% remoto,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Tecnonalia Network,.NET -AZURE -#C
2026-02-19,Tecnoempleo,Barcelona,Sin Data,Full Stack Developer,Sin Data,Presencial,Sin Data,Sin Data,Sin Data,First Hunting RRHH,.NET -VB -HL7
2026-02-19,Tecnoempleo,Barcelona,Sin Data,QA Tester Funcional,24.000€ - 30.000€ b/a,Híbrido,Sin Data,Sin Data,Sin Data,Mytic Innova,SOAPUI -Postman -SQL
2026-02-19,Tecnoempleo,Sin Data,Sin Data,Analista Programador Java JEE,33.000€ - 39.000€ b/a,100% remoto,Sin Data,Sin Data,Sin Data,CAS TRAINING,JAVA -J2EE -ORACLE
2026-02-19,Tecnoempleo,Sin Data,Sin Data,Desarrollador/a Senior Fullstack Java,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Digital Talent Agency,java -spring -spring boot
2026-02-19,Tecnoempleo,Madrid,Sin Data,Backend Java Junior (APIs),Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,Baoss,API -Java -PingID
2026-02-19,Tecnoempleo,Sin Data,Sin Data,Senior Frontend Developer,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,Baoss,React -Typescript -NextJS
2026-02-19,Tecnoempleo,Madrid,Sin Data,IT Project Manager Financiación a Largo Plazo,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Project Manager -Scrum -Kanban
2026-02-19,Tecnoempleo,Madrid,Sin Data,Storage Administrator,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Storage -NetApp -IBM
2026-02-19,Tecnoempleo,Barcelona,Sin Data,AI Voicebot Adoption Expert,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Santander,Generative AI -LLM -Dialogflow
2026-02-19,Tecnoempleo,Madrid,Sin Data,Engineer Seguridad y Cifrado (Thales CTM / HSM),Sin Data,Presencial,Sin Data,Sin Data,Sin Data,CMV Consultores,THALES -HSM
2026-02-19,Tecnoempleo,Madrid,Sin Data,Técnico Junior de Infraestructura IT,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,GMV,HPE -Cisco -Aruba
2026-02-19,Tecnoempleo,Madrid,Sin Data,Responsable de compras,Sin Data,Híbrido,Sin Data,Sin Data,Sin Data,GMV,hardware -software
2026-02-19,Tecnoempleo,Sin Data,Sin Data,"Desarrollador Backend (Node, JavaScript y TS)",Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,PANEL Sistemas Informáticos,Node.js -JavaScript -TypeScript
2026-02-19,Tecnoempleo,Sin Data,Sin Data,Desarrollador Backend (Node + TypeScript) con IA,Sin Data,100% remoto,Sin Data,Sin Data,Sin Data,PANEL Sistemas Informáticos,Node.js -TypeScript -REST APIs
2026-02-19,Tecnoempleo,Madrid,Sin Data,Consultor funcional Business Central / Navision,Sin Data,Sin Data,Sin Data,Sin Data,Sin Data,Zuna BD Ltd,business central -Navision -dynamics 365
