Fecha,Plataforma,Provincia,Localidad,Oferta_Empleo,Salario,Modalidad,Tipo_Contrato,Tipo_Jornada,Experiencia,Empresa,Requisitos
2026-09-11,Trabajoscom,Palencia,Palencia,PEÓN MONTAJE/ RADIAL,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Iman Temporing,Sin Data
2026-09-11,Trabajoscom,Valencia,Massalaves,Operarios (H/M/D) de empaquetado CON DISCAPACIDAD (Masalavés),17.000 € - 18.000 €,Sin Data,Discapacidad,Jornada Completa,Sin Data,Ilunion,Sin Data
2026-09-11,Trabajoscom,Valencia,Buñol,Personal de limpieza (H/M/D) con discapacidad (BUÑOL),16.000 € - 17.000 €,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Ilunion,Sin Data
2026-09-11,Trabajoscom,Málaga,Antequera,Carretillero/a Sector Alimentación Antequera,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Valencia,Agullent,Operario/a sector textil,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Murcia,Las Torres De Cotillas,Mantenimiento Electrónico/a,Sin Data,Sin Data,Indefinido,Jornada Intensiva,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Madrid,Madrid,Contable Senior (C1 Inglés) Indefinido/a,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Zaragoza,La Muela,OPERARIO SECTOR MADERA,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Guadalajara,Azuqueca De Henares,Técnico/a electrónico/a FPI  y soldadura,Sin Data,Sin Data,De duracion determinada,Media Jornada,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Valencia,Riba-Roja De Turia,Tornero CNC con programación Fanuc en Valencia (1426),25.000 € - 32.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,Human Simbio Consulting,Sin Data
2026-09-11,Trabajoscom,Barcelona,Barcelona,Limpieza de calles TEMPORAL carné B,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Valencia,Sollana,Operario/a calidad sector alimentación,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Teruel,Caude,Carretillero/a Aeropuerto Teruel,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Madrid,Todo Madrid,Tecnico campaña preventivas/emergencias Naturgy,30.000 € - 60.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,Edeco Sales Solutions,Sin Data
2026-09-11,Trabajoscom,Murcia,Murcia,Técnico/a de formación Murcia,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Cádiz,Benalup-Casas Viejas,Oficiales de Maquinista Retro Excavadora -  Benalup Casas Viejas,Sin Data,Sin Data,Fijo discontinuo,Jornada Completa,Sin Data,Franmar Work Solution,Sin Data
2026-09-11,Trabajoscom,Málaga,Todo Málaga,"Oficial de primera, ingenieros técnicos, operarios",20.000 € - 25.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,Ingenieria y Control Ferroviario Montajes,Sin Data
2026-09-11,Trabajoscom,Murcia,Murcia,Coordinador/a de formación Murcia,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Zaragoza,Pedrola,Carretilleros/as para Pedrola (sector automoción),Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Zaragoza,El Burgo De Ebro,Mozo/a-a almacén con carretilla,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Murcia,Cartagena,Camarero/a de piso,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,INGENIERO/A MANTENIMIENTO MECANICO,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,"INGENIERO/A, INGENIERO/A QUIMICO/A  PARA PRODUCCION",Sin Data,Sin Data,De duracion determinada,Jornada Indiferente,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Madrid,Alcala De Henares,Fresador de 5 ejes en Alcalá (8026),28.000 € - 30.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,Human Simbio Consulting,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Técnico/a de producto // Encargado/a general,Sin Data,Sin Data,Indefinido,Jornada Indiferente,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Tecnico/a de Metrologia,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,"Técnico/a PRL, Calidad y Medioambiente",42 € - 54 €,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Técnico/a Mantenimiento Industrial,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,"Director/a de Tecnología, Producto y Soluciones Industriales",72.000 € - 90.000 €,Sin Data,Indefinido,Jornada Indiferente,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Responsable Comercial,42 € - 54 €,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Barcelona,Todo Barcelona,Encargado/a de turno,23.000 € - 33.000 €,Sin Data,Indefinido,Jornada Completa,Sin Data,Empresa de Selección,Sin Data
2026-09-11,Trabajoscom,Gipuzkoa,Todo Gipuzkoa,Electricista,18 € - 30 €,Sin Data,Indefinido,Jornada Completa,Sin Data,AdegiLan,Sin Data
2026-09-11,Trabajoscom,Salamanca,Salamanca,FRANCISCO GARCIA] COCINERO/A,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Madrid,Madrid,MOZO DE ALMACÉN San Blas,Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Zaragoza,Zaragoza,REPARTIDOR/A DE PAQUETERÍA (Posibilidad solo fines de semana),Sin Data,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Temps,Sin Data
2026-09-11,Trabajoscom,Barcelona,Mataró,Consultor/a de Selección Directa,Sin Data,Sin Data,Indefinido,Jornada Completa,Sin Data,Grupo Adecco,Sin Data
2026-09-11,Trabajoscom,Barcelona,Mollet Del Vallès,Repartidor/a de paquetería - Furgoneta de Empresa,1.500 € - 1.600 €,Sin Data,De duracion determinada,Jornada Completa,Sin Data,Temps,Sin Data
