Cod_Comunidad,Comunidad,Cod_Provincia,Provincia,Codigo,Municipio,Hombres,Mujeres,Habitantes,Latitud,Longitud,Altitud
12,12 Galicia,27,27 Lugo,27001,27001 Abadín,1103,1114,2217,43.36666,-7.483333,475.1587
12,12 Galicia,27,27 Lugo,27002,27002 Alfoz,725,798,1523,43.52817,-7.414435,56.10721
12,12 Galicia,27,27 Lugo,27003,27003 Antas de Ulla,889,933,1822,42.78225,-7.891078,558.4615
12,12 Galicia,27,27 Lugo,27004,27004 Baleira,599,521,1120,43.00167,-7.239167,661.8257
12,12 Galicia,27,27 Lugo,27901,27901 Baralla,1308,1147,2455,42.89286,-7.253127,488.2265
12,12 Galicia,27,27 Lugo,27005,27005 Barreiros,1462,1568,3030,43.53333,-7.233333,193.2786
12,12 Galicia,27,27 Lugo,27006,27006 Becerreá,1351,1352,2703,42.85341,-7.162147,641.6993
12,12 Galicia,27,27 Lugo,27007,27007 Begonte,1470,1435,2905,43.14534,-7.680204,416.7638
12,12 Galicia,27,27 Lugo,27902,27902 Burela,4790,4757,9547,43.65594,-7.363514,62.66413
12,12 Galicia,27,27 Lugo,27008,27008 Bóveda,713,696,1409,42.62622,-7.479327,358.4192
12,12 Galicia,27,27 Lugo,27009,27009 Carballedo,1030,1014,2044,42.51667,-7.833333,556.9655
12,12 Galicia,27,27 Lugo,27010,27010 Castro de Rei,2537,2504,5041,43.20859,-7.400369,431.6718
12,12 Galicia,27,27 Lugo,27011,27011 Castroverde,1286,1211,2497,43.03097,-7.327102,589.1481
12,12 Galicia,27,27 Lugo,27012,27012 Cervantes,690,497,1187,42.86984,-7.060073,648.1846
12,12 Galicia,27,27 Lugo,27013,27013 Cervo,2060,2124,4184,43.68209,-7.44769,59.01057
12,12 Galicia,27,27 Lugo,27016,27016 Chantada,3940,4152,8092,42.60867,-7.773468,491.9615
12,12 Galicia,27,27 Lugo,27014,"27014 Corgo, O",1737,1633,3370,42.93829,-7.415542,423.9196
12,12 Galicia,27,27 Lugo,27015,27015 Cospeito,2072,2141,4213,43.23597,-7.558825,426.1127
12,12 Galicia,27,27 Lugo,27017,27017 Folgoso do Courel,509,469,978,42.58882,-7.195468,597.0881
12,12 Galicia,27,27 Lugo,27018,"27018 Fonsagrada, A",1628,1488,3116,43.12375,-7.06791,957.5945
12,12 Galicia,27,27 Lugo,27019,27019 Foz,4960,5238,10198,43.56639,-7.25667,6.783125
12,12 Galicia,27,27 Lugo,27020,27020 Friol,1845,1753,3598,43.02889,-7.79354,483.822
12,12 Galicia,27,27 Lugo,27022,27022 Guitiriz,2576,2546,5122,43.18174,-7.900185,448.572
12,12 Galicia,27,27 Lugo,27023,27023 Guntín,1287,1242,2529,42.88778,-7.697222,465.0538
12,12 Galicia,27,27 Lugo,27024,"27024 Incio, O",772,736,1508,42.64861,-7.33,733.6429
12,12 Galicia,27,27 Lugo,27027,27027 Lourenzá,1025,1073,2098,43.4711,-7.297891,56.24402
12,12 Galicia,27,27 Lugo,27028,27028 Lugo,45979,53503,99482,43.01208,-7.555851,468.2347
12,12 Galicia,27,27 Lugo,27026,27026 Láncara,1279,1221,2500,42.86206,-7.348236,409.2137
12,12 Galicia,27,27 Lugo,27029,27029 Meira,876,880,1756,43.2131,-7.294944,488.5347
12,12 Galicia,27,27 Lugo,27030,27030 Mondoñedo,1593,1759,3352,43.4281,-7.362851,132.6622
12,12 Galicia,27,27 Lugo,27031,27031 Monforte de Lemos,8792,9768,18560,42.5185,-7.510688,299.166
12,12 Galicia,27,27 Lugo,27032,27032 Monterroso,1798,1834,3632,42.79319,-7.836526,542.8273
12,12 Galicia,27,27 Lugo,27033,27033 Muras,306,294,600,43.46788,-7.723003,486.4558
12,12 Galicia,27,27 Lugo,27034,27034 Navia de Suarna,543,436,979,42.96486,-7.003865,324.8547
12,12 Galicia,27,27 Lugo,27035,27035 Negueira de Muñiz,132,108,240,43.13335,-6.893023,358.476
12,12 Galicia,27,27 Lugo,27037,"27037 Nogais, As",498,444,942,42.80933,-7.109268,512.5035
12,12 Galicia,27,27 Lugo,27038,27038 Ourol,503,482,985,43.55678,-7.636109,253.6125
12,12 Galicia,27,27 Lugo,27039,27039 Outeiro de Rei,2744,2614,5358,43.10213,-7.615168,410.7439
12,12 Galicia,27,27 Lugo,27040,27040 Palas de Rei,1672,1595,3267,42.87424,-7.868907,558.8809
12,12 Galicia,27,27 Lugo,27041,27041 Pantón,1157,1183,2340,42.51667,-7.6,304.506
12,12 Galicia,27,27 Lugo,27042,27042 Paradela,802,789,1591,42.76667,-7.6,559.2864
12,12 Galicia,27,27 Lugo,27044,"27044 Pastoriza, A",1404,1383,2787,43.30063,-7.351371,545.8884
12,12 Galicia,27,27 Lugo,27045,27045 Pedrafita do Cebreiro,488,410,898,42.72624,-7.021226,1110.924
12,12 Galicia,27,27 Lugo,27047,"27047 Pobra do Brollón, A",815,804,1619,42.55704,-7.392418,384.0419
12,12 Galicia,27,27 Lugo,27046,27046 Pol,773,769,1542,43.15272,-7.330053,530.1712
12,12 Galicia,27,27 Lugo,27048,"27048 Pontenova, A",1033,1091,2124,43.34803,-7.192536,84.54995
12,12 Galicia,27,27 Lugo,27049,27049 Portomarín,666,620,1286,42.80775,-7.615518,387.5597
12,12 Galicia,27,27 Lugo,27043,"27043 Páramo, O",647,649,1296,42.8396,-7.535555,376.2073
12,12 Galicia,27,27 Lugo,27050,27050 Quiroga,1473,1584,3057,42.47597,-7.271719,268.3575
12,12 Galicia,27,27 Lugo,27051,27051 Ribadeo,4699,5279,9978,43.53735,-7.043029,41.25553
12,12 Galicia,27,27 Lugo,27052,27052 Ribas de Sil,460,444,904,42.44611,-7.297662,532.9442
12,12 Galicia,27,27 Lugo,27053,27053 Ribeira de Piquín,262,230,492,43.19055,-7.189803,616.5509
12,12 Galicia,27,27 Lugo,27054,27054 Riotorto,595,584,1179,43.35972,-7.254445,393.7881
12,12 Galicia,27,27 Lugo,27056,27056 Rábade,739,760,1499,43.12088,-7.621819,404.1569
12,12 Galicia,27,27 Lugo,27055,27055 Samos,629,569,1198,42.73054,-7.325293,542.352
12,12 Galicia,27,27 Lugo,27057,27057 Sarria,6565,6894,13459,42.77766,-7.414474,447.6552
12,12 Galicia,27,27 Lugo,27058,"27058 Saviñao, O",1772,1716,3488,42.64709,-7.654811,450.5526
12,12 Galicia,27,27 Lugo,27059,27059 Sober,1042,1087,2129,42.46107,-7.586344,398.1687
12,12 Galicia,27,27 Lugo,27060,27060 Taboada,1254,1347,2601,42.71615,-7.762904,542.3445
12,12 Galicia,27,27 Lugo,27061,27061 Trabada,532,551,1083,43.44833,-7.194592,214.7123
12,12 Galicia,27,27 Lugo,27062,27062 Triacastela,298,311,609,42.75665,-7.240443,671.5583
12,12 Galicia,27,27 Lugo,27063,"27063 Valadouro, O",908,998,1906,43.56673,-7.459773,262.7564
12,12 Galicia,27,27 Lugo,27064,"27064 Vicedo, O",770,819,1589,43.73336,-7.672058,13.50312
